p_id,contenu,p_date,sujet,emotion,conv_fk,ev_fk,film_fk,serie_fk,parent_id
1,"Un chef-d'œuvre visuel!",2024-12-16,"Cinéma","admiration",8,9,9,8,
2,"Captivant du début à la fin.",2024-08-27,"Cinéma","appréciation",3,5,2,4,
3,"Une série incroyablement bien écrite.",2023-05-28,"Séries","admiration",8,8,6,7,
4,"Les effets spéciaux sont époustouflants!",2024-06-29,"Cinéma","émerveillement",8,6,8,3,
5,"Un film touchant et émouvant.",2023-06-20,"Cinéma","émotion",1,1,3,3,
6,"Une comédie hilarante à voir absolument.",2024-08-30,"Séries","joie",7,5,3,2,
7,"Une belle histoire bien racontée.",2023-11-27,"Séries","appréciation",5,7,2,1,
8,"Un film qui fait réfléchir.",2024-03-05,"Cinéma","réflexion",3,6,1,6,
9,"Des personnages attachants et bien développés.",2025-01-14,"Séries","affection",1,9,4,8,4
10,"L'intrigue est un peu prévisible.",2023-09-11,"Cinéma","indifférence",9,7,2,1,4
11,"Une aventure épique!",2024-10-14,"Cinéma","excitation",5,3,2,2,10
12,"Les acteurs sont incroyables.",2024-12-20,"Cinéma","admiration",7,8,9,1,
13,"La fin m'a laissé sans voix.",2024-02-18,"Séries","surprise",3,6,9,7,2
14,"Une histoire d'amour captivante.",2024-03-09,"Cinéma","romantisme",3,7,7,3,
15,"Le meilleur film que j'ai vu cette année.",2023-07-29,"Cinéma","appréciation",9,6,10,7,1
16,"Un thriller haletant!",2025-02-22,"Cinéma","tension",3,5,4,6,
17,"Une série documentaire fascinante.",2023-05-27,"Séries","intérêt",4,1,8,8,
18,"La bande sonore est magnifique.",2024-06-21,"Cinéma","admiration",3,3,4,6,
19,"Un film d'animation adorable.",2025-02-05,"Cinéma","affection",1,7,2,6,
20,"L'humour est au rendez-vous.",2024-05-07,"Séries","joie",8,6,3,2,
21,"Un drame intense et bien joué.",2024-12-16,"Cinéma","émotion",2,5,8,2,
22,"Un excellent film pour toute la famille.",2023-07-11,"Cinéma","appréciation",7,4,5,2,
23,"Les décors sont absolument magnifiques.",2023-11-05,"Cinéma","admiration",5,1,5,9,16
24,"Une série addictive!",2024-11-06,"Séries","enthousiasme",5,5,4,3,
25,"Une intrigue complexe et passionnante.",2023-12-15,"Séries","intérêt",2,4,5,7,
